"id"	"name"	"long"	"lat"	"ville"	"feature"	"value"
"1233867089"	NA	2.4872735	48.701404	"Paris"	"amenity"	"bar"
"1234174563"	"Le Semaphore"	2.3278199	48.8776389	"Paris"	"amenity"	"bar"
"1234207497"	"Wall Street Bar"	2.3339314	48.8831839	"Paris"	"amenity"	"bar"
"1235238111"	"Le Scandale"	2.3407486	48.8814639	"Paris"	"amenity"	"bar"
"1236518678"	"Verre et Chope"	2.3447332	48.877868	"Paris"	"amenity"	"bar"
"1240425293"	"Bistrot Balard"	2.2791434	48.8368019	"Paris"	"amenity"	"bar"
"1240426071"	"Le Balard"	2.2791133	48.8369546	"Paris"	"amenity"	"bar"
"1240426837"	"Le Rouergue"	2.3419355	48.8651635	"Paris"	"amenity"	"bar"
"1240956663"	"Aux Armes de la Ville"	2.2059624	48.8917922	"Paris"	"amenity"	"bar"
"1242439466"	"hypnose bar"	2.345274	48.8742333	"Paris"	"amenity"	"bar"
"1243322704"	"La bicylette"	2.3721944	48.8813769	"Paris"	"amenity"	"bar"
"1244411731"	"Les Coteaux"	2.3044201	48.846899	"Paris"	"amenity"	"bar"
"1252378726"	"Carpe Diem"	2.2198234	48.8961881	"Paris"	"amenity"	"bar"
"1252381095"	"Le Victor Hugo"	2.2940571	48.8984235	"Paris"	"amenity"	"bar"
"1252381570"	"Le Dugommier"	2.3895336	48.8385292	"Paris"	"amenity"	"bar"
"1252487298"	"Les Pirates"	2.3767039	48.8654085	"Paris"	"amenity"	"bar"
"1272453341"	"Le Xème"	2.352256	48.8710357	"Paris"	"amenity"	"bar"
"1291532250"	"Polly Maggoo"	2.2583877	48.8846802	"Paris"	"amenity"	"bar"
"1292271731"	"Joséphine Caves Parisiennes"	2.3788272	48.8676321	"Paris"	"amenity"	"bar"
"1292272186"	NA	2.3743891	48.8668431	"Paris"	"amenity"	"bar"
"1292272228"	"Orange Mécanique"	2.3755303	48.867139	"Paris"	"amenity"	"bar"
"1298778110"	NA	2.3745598	48.8667999	"Paris"	"amenity"	"bar"
"1298778167"	NA	2.3746142	48.8666987	"Paris"	"amenity"	"bar"
"1299587200"	"Le Neptune"	2.2796456	48.8903757	"Paris"	"amenity"	"bar"
"1301125374"	NA	2.3686091	48.8571246	"Paris"	"amenity"	"bar"
"1301125684"	NA	2.3684264	48.8571393	"Paris"	"amenity"	"bar"
"1307180571"	"Moonshiner"	2.3712026	48.8556393	"Paris"	"amenity"	"bar"
"1307259134"	"Bastille bar"	2.3708103	48.8536882	"Paris"	"amenity"	"bar"
"1307259214"	"Les Furieux"	2.3753418	48.8557579	"Paris"	"amenity"	"bar"
"1307259285"	"Bar'Ock"	2.3710477	48.8545778	"Paris"	"amenity"	"bar"
"1307270981"	"Bacardi Mojito Lab"	2.3757046	48.855091	"Paris"	"amenity"	"bar"
"1307271035"	"Lone Palm"	2.3755893	48.8550046	"Paris"	"amenity"	"bar"
"1312783423"	NA	2.6155624	48.8438639	"Paris"	"amenity"	"bar"
"1312808399"	"Bar Tabac"	2.6156885	48.8456237	"Paris"	"amenity"	"bar"
"1316079346"	"L'Imprévu"	2.237479	48.8416745	"Paris"	"amenity"	"bar"
"1326677896"	"Le Vingt Heures Vin"	2.3333605	48.886254	"Paris"	"amenity"	"bar"
"1326932235"	NA	2.3805468	48.8514432	"Paris"	"amenity"	"bar"
"1334007430"	"Les tontons"	2.3874199	48.8504954	"Paris"	"amenity"	"bar"
"1345568296"	"La Terrasse"	2.1911166	48.7050705	"Paris"	"amenity"	"bar"
"1350464575"	NA	2.3816769	48.86499	"Paris"	"amenity"	"bar"
"1368149075"	"Stop Bar"	2.3531176	48.9299947	"Paris"	"amenity"	"bar"
